Year,rain
1817-01-01,22.54
1818-01-01,17.46
1819-01-01,26.46
1820-01-01,11.54
1821-01-01,6.54
1822-01-01,26.46
1823-01-01,9.54
1824-01-01,1.46
1825-01-01,33.46
1826-01-01,14.46
1827-01-01,6.54
1828-01-01,9.46
1829-01-01,6.54
1830-01-01,1.46
1831-01-01,1.46
1832-01-01,0.54
1833-01-01,6.46
1834-01-01,15.46
1835-01-01,5.46
1836-01-01,4.54
1837-01-01,7.46
1838-01-01,2.46
1839-01-01,6.46
1840-01-01,2.46
1841-01-01,6.54
1842-01-01,1.54
1843-01-01,7.54
1844-01-01,9.46
1845-01-01,6.46
1846-01-01,9.54
1847-01-01,10.54
1848-01-01,2.46
1849-01-01,0.46
1850-01-01,14.54
1851-01-01,13.46
1852-01-01,1.54
1853-01-01,4.46
1854-01-01,5.46
1855-01-01,0.54
1856-01-01,13.46
1857-01-01,5.54
1858-01-01,6.54
1859-01-01,14.54
1860-01-01,7.46
1861-01-01,3.46
1862-01-01,3.54
1863-01-01,3.54
1864-01-01,14.46
1865-01-01,16.54
1866-01-01,0.46
1867-01-01,2.54
1868-01-01,12.54
1869-01-01,6.54
1870-01-01,13.54
1871-01-01,1.54
1872-01-01,0.46
1873-01-01,16.54
1874-01-01,5.54
1875-01-01,7.54
1876-01-01,15.54
1877-01-01,7.54
1878-01-01,15.54
1879-01-01,2.46
1880-01-01,4.54
1881-01-01,3.54
1882-01-01,6.54
1883-01-01,9.54
1884-01-01,6.54
1885-01-01,3.54
1886-01-01,2.54
1887-01-01,2.46
1888-01-01,7.54
1889-01-01,8.54
1890-01-01,10.54
1891-01-01,0.54
1892-01-01,0.54
1893-01-01,3.54
1894-01-01,6.46
1895-01-01,12.46
1896-01-01,5.46
1897-01-01,3.54
1898-01-01,5.54
1899-01-01,8.46
1900-01-01,7.46
1901-01-01,4.46
1902-01-01,0.54
1903-01-01,3.54
1904-01-01,9.46
1905-01-01,3.54
1906-01-01,1.54
1907-01-01,0.46
1908-01-01,12.46
1909-01-01,5.46
1910-01-01,11.46
1911-01-01,4.54
1912-01-01,5.54
1913-01-01,3.46
1914-01-01,9.46
1915-01-01,6.54
1916-01-01,6.46
1917-01-01,11.46
1918-01-01,9.46
1919-01-01,9.54
1920-01-01,3.54
1921-01-01,2.46
1922-01-01,0.54
